"Instante lectura","Chuvia","Direcci?n do vento predominante a 10m","Horas de fr?o ( <=7?C)","Horas de sol","Humidade relativa media a?1.5m","Insolaci?n","Irradiaci?n global diaria","Temperatura media a?1.5m","Velocidade do vento a 10m"
"2024-05-01 00:00:00.0","14.0","225.0","0.0","5.7","78.0","41.4","1789.0","11.0","9.8"
"2024-05-02 00:00:00.0","1.3","225.0","0.0","8.5","75.0","61.3","2184.0","12.5","22.2"
"2024-05-03 00:00:00.0","14.3","225.0","0.0","0.2","89.0","1.3","632.0","13.8","33.5"
"2024-05-04 00:00:00.0","19.8","225.0","0.0","0.6","93.0","4.4","709.0","14.7","33.1"
"2024-05-05 00:00:00.0","20.3","225.0","0.0","2.8","91.0","19.6","1046.0","13.5","15.5"
"2024-05-06 00:00:00.0","0.0","90.0","0.0","12.1","79.0","85.9","2976.0","13.5","7.1"
"2024-05-07 00:00:00.0","0.0","45.0","0.0","11.9","75.0","84.6","2813.0","15.5","8.0"
"2024-05-08 00:00:00.0","0.0","45.0","0.0","11.9","64.0","83.9","2985.0","18.7","10.8"
"2024-05-09 00:00:00.0","0.0","45.0","0.0","5.5","64.0","39.1","1925.0","18.9","7.2"
"2024-05-10 00:00:00.0","0.0","315.0","0.0","11.8","74.0","82.9","2922.0","18.0","6.1"
"2024-05-11 00:00:00.0","0.0","315.0","0.0","9.5","84.0","66.5","2582.0","15.3","9.7"
"2024-05-12 00:00:00.0","0.0","225.0","0.0","9.6","80.0","67.1","2287.0","15.2","8.8"
"2024-05-13 00:00:00.0","16.4","225.0","0.0","2.5","89.0","17.5","808.0","14.5","18.1"
"2024-05-14 00:00:00.0","1.8","225.0","0.0","5.7","76.0","39.4","1871.0","13.5","15.7"
"2024-05-15 00:00:00.0","8.8","225.0","0.0","4.5","75.0","31.2","1660.0","12.9","13.1"
"2024-05-16 00:00:00.0","12.1","225.0","0.0","5.6","81.0","38.7","1653.0","12.9","13.1"
"2024-05-17 00:00:00.0","3.1","135.0","0.0","8.5","85.0","58.5","2492.0","13.6","8.0"
"2024-05-18 00:00:00.0","7.2","225.0","0.0","5.7","84.0","39.3","1792.0","14.3","12.0"
"2024-05-19 00:00:00.0","0.0","0.0","0.0","8.9","81.0","61.6","2396.0","14.7","7.5"
"2024-05-20 00:00:00.0","0.0","225.0","0.0","12.4","79.0","85.2","3044.0","14.8","8.4"
"2024-05-21 00:00:00.0","1.6","225.0","0.0","5.9","83.0","40.5","1844.0","14.7","11.4"
"2024-05-22 00:00:00.0","3.4","180.0","0.0","10.2","78.0","69.5","2830.0","14.7","10.9"
"2024-05-23 00:00:00.0","0.0","0.0","0.0","12.7","76.0","86.5","3060.0","14.6","8.8"
"2024-05-24 00:00:00.0","0.0","225.0","0.0","12.7","76.0","86.9","3166.0","15.3","7.9"
"2024-05-25 00:00:00.0","0.0","225.0","0.0","4.7","83.0","32.1","1561.0","14.9","19.1"
"2024-05-26 00:00:00.0","0.0","45.0","0.0","11.2","80.0","76.1","2940.0","15.2","6.8"
"2024-05-27 00:00:00.0","0.0","0.0","0.0","12.4","75.0","83.9","3075.0","14.7","10.5"
"2024-05-28 00:00:00.0","0.0","0.0","0.0","12.5","80.0","84.8","3097.0","15.1","7.5"
"2024-05-29 00:00:00.0","0.0","315.0","0.0","11.7","83.0","79.0","2480.0","16.2","9.4"
"2024-05-30 00:00:00.0","0.0","0.0","0.0","12.6","71.0","84.7","3101.0","20.0","13.0"
"2024-05-31 00:00:00.0","0.0","45.0","0.0","12.8","55.0","86.4","3236.0","19.8","10.9"
"2024-06-01 00:00:00.0","0.0","45.0","0.0","12.9","56.0","86.6","3184.0","20.9","12.7"
"2024-06-02 00:00:00.0","0.0","45.0","0.0","12.9","55.0","86.6","3212.0","21.0","14.3"
"2024-06-03 00:00:00.0","0.0","45.0","0.0","12.9","62.0","86.5","3168.0","20.7","9.2"
"2024-06-04 00:00:00.0","0.0","225.0","0.0","11.9","83.0","79.6","3068.0","17.5","7.5"
"2024-06-05 00:00:00.0","0.0","225.0","0.0","6.8","82.0","45.3","2163.0","17.2","5.3"
"2024-06-06 00:00:00.0","0.0","315.0","0.0","11.2","80.0","74.7","2580.0","18.5","7.1"
"2024-06-07 00:00:00.0","7.1","-9999.0","0.0","10.4","74.0","69.5","2627.0","21.5","14.1"
"2024-06-08 00:00:00.0","7.6","-9999.0","0.0","7.5","86.0","50.3","2192.0","18.2","9.3"
"2024-06-09 00:00:00.0","0.0","-9999.0","0.0","8.0","71.0","53.0","2024.0","17.6","9.6"
"2024-06-10 00:00:00.0","0.0","-9999.0","0.0","13.0","64.0","86.3","3216.0","17.9","12.4"
"2024-06-11 00:00:00.0","0.0","-9999.0","0.0","13.0","66.0","86.2","3205.0","17.1","13.8"
"2024-06-12 00:00:00.0","0.0","-9999.0","0.0","13.0","67.0","86.3","3233.0","16.8","11.1"
"2024-06-13 00:00:00.0","3.9","-9999.0","0.0","8.5","84.0","56.3","2103.0","15.4","12.4"
"2024-06-14 00:00:00.0","3.7","0.0","0.0","8.0","90.0","53.3","2290.0","15.8","12.4"
"2024-06-15 00:00:00.0","0.0","0.0","0.0","9.8","81.0","65.2","2688.0","15.9","9.2"
"2024-06-16 00:00:00.0","5.9","0.0","0.0","0.8","96.0","5.4","912.0","16.0","22.5"
"2024-06-17 00:00:00.0","12.9","180.0","0.0","1.6","97.0","10.8","792.0","16.5","23.3"
"2024-06-18 00:00:00.0","3.5","225.0","0.0","10.9","89.0","72.5","3072.0","16.4","8.3"
"2024-06-19 00:00:00.0","0.0","0.0","0.0","10.1","82.0","66.7","2815.0","16.5","10.9"
"2024-06-20 00:00:00.0","0.0","45.0","0.0","4.2","82.0","27.5","1540.0","15.8","9.6"
"2024-06-21 00:00:00.0","0.0","45.0","0.0","12.9","77.0","85.2","3181.0","15.8","6.9"
"2024-06-22 00:00:00.0","0.0","225.0","0.0","8.5","85.0","56.3","2385.0","17.0","5.9"
"2024-06-23 00:00:00.0","0.0","0.0","0.0","12.9","82.0","85.4","3100.0","19.9","11.1"
"2024-06-24 00:00:00.0","0.0","0.0","0.0","13.0","80.0","86.0","3077.0","20.5","10.0"
"2024-06-25 00:00:00.0","0.0","225.0","0.0","1.9","99.0","12.7","1172.0","16.2","18.4"
"2024-06-26 00:00:00.0","0.0","225.0","0.0","7.2","92.0","47.4","2073.0","17.4","7.9"
"2024-06-27 00:00:00.0","0.0","0.0","0.0","12.9","79.0","85.7","2988.0","20.8","11.8"
"2024-06-28 00:00:00.0","0.0","45.0","0.0","7.9","79.0","52.4","2343.0","19.4","10.8"
"2024-06-29 00:00:00.0","0.9","225.0","0.0","10.2","82.0","67.8","2654.0","17.4","10.5"
"2024-06-30 00:00:00.0","3.3","225.0","0.0","6.5","93.0","43.0","1964.0","16.8","6.0"
"2024-07-01 00:00:00.0","0.0","0.0","0.0","13.0","77.0","86.1","3171.0","19.4","10.9"
"2024-07-02 00:00:00.0","0.0","0.0","0.0","12.6","72.0","84.0","3115.0","20.2","13.1"
"2024-07-03 00:00:00.0","0.0","0.0","0.0","12.9","76.0","86.1","3207.0","18.1","15.6"
"2024-07-04 00:00:00.0","0.0","0.0","0.0","12.9","69.0","86.2","3140.0","22.1","14.0"
"2024-07-05 00:00:00.0","0.0","0.0","0.0","12.9","75.0","85.9","3187.0","19.1","13.0"
"2024-07-06 00:00:00.0","0.3","0.0","0.0","10.3","78.0","68.4","2978.0","16.6","10.6"
"2024-07-07 00:00:00.0","0.0","225.0","0.0","12.9","75.0","86.2","3127.0","16.0","7.8"
"2024-07-08 00:00:00.0","4.8","180.0","0.0","6.3","84.0","42.4","2227.0","17.2","18.3"
"2024-07-09 00:00:00.0","4.1","180.0","0.0","0.1","100.0","0.3","695.0","16.8","17.3"
"2024-07-10 00:00:00.0","1.2","225.0","0.0","5.9","100.0","39.2","1921.0","17.5","18.3"
"2024-07-11 00:00:00.0","4.0","225.0","0.0","4.3","100.0","28.6","1570.0","17.4","12.8"
"2024-07-12 00:00:00.0","0.0","45.0","0.0","11.4","78.0","76.5","3015.0","18.4","10.1"
"2024-07-13 00:00:00.0","0.0","225.0","0.0","11.7","79.0","79.0","2970.0","17.0","12.8"
"2024-07-14 00:00:00.0","7.5","225.0","0.0","4.7","87.0","31.8","1674.0","17.7","21.8"
"2024-07-15 00:00:00.0","0.5","225.0","0.0","10.0","93.0","67.7","2632.0","17.4","15.7"
"2024-07-16 00:00:00.0","0.0","0.0","0.0","11.5","88.0","77.9","3007.0","17.6","5.4"
"2024-07-17 00:00:00.0","0.0","225.0","0.0","12.2","87.0","82.7","3042.0","18.1","6.8"
"2024-07-18 00:00:00.0","0.0","315.0","0.0","11.0","87.0","74.3","2930.0","18.5","6.2"
"2024-07-19 00:00:00.0","0.0","225.0","0.0","8.1","96.0","55.2","2553.0","18.2","5.5"
"2024-07-20 00:00:00.0","1.6","225.0","0.0","0.7","98.0","4.9","852.0","17.8","13.0"
"2024-07-21 00:00:00.0","0.0","45.0","0.0","12.7","71.0","86.6","3086.0","18.5","10.4"
"2024-07-22 00:00:00.0","0.0","0.0","0.0","12.7","63.0","86.7","3060.0","22.6","11.3"
"2024-07-23 00:00:00.0","0.0","0.0","0.0","12.7","65.0","86.6","3025.0","25.4","9.3"
"2024-07-24 00:00:00.0","0.0","0.0","0.0","12.6","73.0","86.5","2994.0","23.7","13.7"
"2024-07-25 00:00:00.0","0.0","0.0","0.0","12.6","77.0","86.6","3026.0","20.9","13.1"
"2024-07-26 00:00:00.0","0.0","0.0","0.0","11.9","83.0","81.6","2642.0","19.8","9.5"
"2024-07-27 00:00:00.0","0.0","0.0","0.0","12.4","81.0","85.6","2933.0","20.8","9.8"
"2024-07-28 00:00:00.0","0.0","225.0","0.0","12.5","79.0","86.6","2877.0","21.4","8.1"
"2024-07-29 00:00:00.0","0.0","270.0","0.0","8.3","78.0","57.6","2049.0","22.7","7.5"
"2024-07-30 00:00:00.0","0.0","270.0","0.0","10.6","69.0","73.6","2644.0","23.0","10.5"
"2024-07-31 00:00:00.0","0.0","225.0","0.0","4.1","95.0","28.7","1430.0","18.4","11.4"
"2024-08-01 00:00:00.0","0.0","0.0","0.0","4.9","91.0","34.3","1551.0","19.0","5.7"
"2024-08-02 00:00:00.0","0.0","0.0","0.0","12.3","78.0","86.4","2885.0","19.7","8.9"
"2024-08-03 00:00:00.0","0.0","0.0","0.0","12.3","79.0","86.2","2904.0","19.7","9.4"
"2024-08-04 00:00:00.0","0.0","0.0","0.0","12.3","81.0","86.3","2842.0","19.9","12.7"
"2024-08-05 00:00:00.0","0.0","0.0","0.0","11.7","85.0","82.2","2796.0","20.1","8.1"
"2024-08-06 00:00:00.0","0.0","45.0","0.0","10.1","84.0","71.1","2475.0","21.0","6.5"
"2024-08-07 00:00:00.0","0.0","0.0","0.0","12.2","75.0","86.7","2856.0","21.0","10.6"
"2024-08-08 00:00:00.0","0.0","0.0","0.0","12.2","76.0","86.7","2804.0","20.9","13.6"
"2024-08-09 00:00:00.0","0.0","0.0","0.0","12.2","74.0","86.7","2809.0","21.8","14.4"
"2024-08-10 00:00:00.0","0.0","270.0","0.0","11.1","80.0","79.2","2645.0","20.7","10.0"
"2024-08-11 00:00:00.0","0.0","225.0","0.0","6.5","94.0","46.7","2103.0","17.8","16.3"
"2024-08-12 00:00:00.0","0.0","0.0","0.0","8.6","91.0","61.9","2175.0","19.1","6.4"
"2024-08-13 00:00:00.0","4.3","225.0","0.0","3.3","93.0","23.9","1430.0","18.1","7.2"
"2024-08-14 00:00:00.0","0.0","0.0","0.0","12.0","77.0","86.5","2801.0","19.4","10.9"
"2024-08-15 00:00:00.0","0.0","0.0","0.0","11.9","66.0","86.6","2795.0","20.7","13.8"
"2024-08-16 00:00:00.0","0.0","0.0","0.0","11.9","69.0","86.6","2747.0","21.1","13.9"
"2024-08-17 00:00:00.0","0.0","0.0","0.0","8.7","88.0","63.8","1935.0","20.9","6.3"
"2024-08-18 00:00:00.0","0.5","0.0","0.0","10.4","89.0","76.4","2638.0","20.6","7.9"
"2024-08-19 00:00:00.0","0.0","0.0","0.0","11.6","82.0","85.3","2583.0","19.6","10.7"
"2024-08-20 00:00:00.0","0.0","0.0","0.0","9.8","78.0","72.0","2451.0","20.8","12.0"
"2024-08-21 00:00:00.0","0.0","45.0","0.0","11.7","73.0","86.2","2673.0","20.9","11.3"
"2024-08-22 00:00:00.0","0.3","0.0","0.0","11.4","83.0","84.2","2604.0","18.7","7.1"
"2024-08-23 00:00:00.0","1.2","225.0","0.0","7.5","98.0","56.0","1918.0","18.4","6.2"
"2024-08-24 00:00:00.0","5.3","45.0","0.0","7.8","85.0","58.0","2062.0","18.6","9.1"
"2024-08-25 00:00:00.0","0.0","45.0","0.0","11.6","66.0","86.6","2636.0","19.1","12.0"
"2024-08-26 00:00:00.0","0.0","0.0","0.0","10.5","70.0","78.5","2439.0","19.7","9.4"
"2024-08-27 00:00:00.0","0.0","225.0","0.0","7.4","93.0","55.4","2006.0","17.5","7.5"
"2024-08-28 00:00:00.0","0.0","45.0","0.0","9.5","86.0","72.0","2067.0","18.9","7.9"
"2024-08-29 00:00:00.0","0.0","0.0","0.0","11.3","76.0","85.5","2484.0","20.9","13.5"
"2024-08-30 00:00:00.0","0.0","0.0","0.0","9.2","76.0","70.2","1944.0","21.5","10.8"
"2024-08-31 00:00:00.0","0.0","270.0","0.0","5.5","94.0","42.3","1654.0","17.0","10.5"
"2024-09-01 00:00:00.0","0.0","225.0","0.0","10.2","87.0","77.9","2369.0","19.1","8.6"
"2024-09-02 00:00:00.0","1.9","0.0","0.0","3.3","81.0","25.3","1310.0","17.9","11.7"
"2024-09-03 00:00:00.0","0.0","45.0","0.0","11.2","71.0","86.5","2519.0","18.0","13.5"
"2024-09-04 00:00:00.0","0.0","45.0","0.0","9.8","70.0","76.2","2390.0","18.4","13.6"
"2024-09-05 00:00:00.0","0.0","45.0","0.0","6.5","76.0","50.5","1532.0","16.3","9.1"
"2024-09-06 00:00:00.0","7.5","225.0","0.0","2.6","93.0","20.4","1076.0","14.4","15.9"
"2024-09-07 00:00:00.0","6.0","225.0","0.0","11.1","89.0","86.6","2405.0","16.1","7.5"
"2024-09-08 00:00:00.0","0.0","225.0","0.0","11.1","89.0","87.2","2409.0","15.6","7.1"
"2024-09-09 00:00:00.0","0.0","45.0","0.0","10.0","84.0","79.0","1994.0","17.5","6.7"
"2024-09-10 00:00:00.0","0.0","0.0","0.0","10.9","72.0","86.5","2344.0","18.5","13.1"
"2024-09-11 00:00:00.0","0.0","45.0","0.0","8.6","82.0","68.1","1853.0","17.3","8.7"
"2024-09-12 00:00:00.0","0.0","315.0","0.0","7.5","89.0","59.5","1852.0","17.9","5.7"
"2024-09-13 00:00:00.0","0.0","45.0","0.0","10.9","61.0","87.0","2329.0","19.5","10.0"
"2024-09-14 00:00:00.0","0.0","45.0","0.0","10.8","62.0","87.0","2341.0","18.2","10.7"
"2024-09-15 00:00:00.0","0.0","0.0","0.0","10.8","59.0","87.3","2261.0","20.0","7.4"
"2024-09-16 00:00:00.0","0.0","45.0","0.0","10.8","50.0","87.4","2266.0","23.1","10.0"
"2024-09-17 00:00:00.0","0.0","45.0","0.0","10.8","50.0","87.7","2181.0","22.6","10.9"
"2024-09-18 00:00:00.0","0.0","45.0","0.0","0.0","59.0","0.0","672.0","18.7","9.0"
"2024-09-19 00:00:00.0","0.0","225.0","0.0","8.0","82.0","65.1","1614.0","17.1","7.3"
"2024-09-20 00:00:00.0","5.0","270.0","0.0","0.0","96.0","0.0","300.0","16.5","5.5"
"2024-09-21 00:00:00.0","0.0","225.0","0.0","3.5","98.0","28.6","1051.0","15.9","4.0"
"2024-09-22 00:00:00.0","0.0","225.0","0.0","7.8","93.0","64.3","1753.0","16.4","4.8"
"2024-09-23 00:00:00.0","0.0","225.0","0.0","10.2","88.0","84.9","2051.0","15.7","11.3"
"2024-09-24 00:00:00.0","7.3","225.0","0.0","3.2","94.0","26.4","935.0","16.8","22.0"
"2024-09-25 00:00:00.0","37.5","225.0","0.0","0.0","100.0","0.3","308.0","17.7","35.3"
"2024-09-26 00:00:00.0","16.7","225.0","0.0","8.6","93.0","72.2","1771.0","17.5","20.8"
"2024-09-27 00:00:00.0","0.9","135.0","0.0","10.2","77.0","85.7","2052.0","16.3","9.3"
"2024-09-28 00:00:00.0","0.0","90.0","0.0","9.4","69.0","79.3","1888.0","15.2","6.1"
"2024-09-29 00:00:00.0","0.0","225.0","0.0","1.6","69.0","13.9","760.0","17.5","16.6"
"2024-09-30 00:00:00.0","3.4","225.0","0.0","1.7","97.0","14.7","693.0","18.1","15.4"
